State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12
1	0.7265993747722347	0.06399561360518884	4.265638824860669E-4	0.016672144425546903	0.0028957927599112376	0.00204754280958815	0.14318686243821746	0.03450978582367296	0.005372470379404121	0.0010808030829048438	2.6606870867655722E-5	0.0031864391499771137
2	0.1881477930396329	0.7688297918783885	0.027048356251557906	0.0034871473326279117	0.00530423083217518	7.089192056623712E-4	0.002331987662071126	0.0	7.966911718805772E-4	0.0	0.0	0.003345082626003483
3	0.0010651390028614388	0.020399557665254312	0.8506761660172713	0.08074682605932358	0.042362029673972214	0.0	0.0037180522531142742	8.7234135434463E-4	9.64773352609002E-5	0.0	0.0	6.34106385974147E-5
4	0.06290975079023957	0.004369898436414277	0.12101045069589288	0.6124069598546416	0.006237294363077532	0.0	0.08556370058381618	0.05253803924394682	0.0338549847200765	0.009249207448849783	0.011555448317785193	3.042655452595899E-4
5	0.00850103488126039	0.005748273017521289	0.05851509105392933	0.0056445001239710454	0.7943665683882001	0.11242308143568927	2.2725836435193603E-4	0.0	3.96710563686035E-5	0.0	0.0	0.01453452167870821
6	0.0014915306293852898	2.0386659761956544E-4	0.0	0.0	0.023394371996615773	0.9524702634551917	0.015292014317716448	0.0	0.0	0.0	0.0	0.007147953003471226
7	0.01470894696558149	9.51647739675115E-5	1.5232509080791132E-4	0.002660657610661162	2.100716421587042E-5	0.0022462783896420495	0.9577659229132618	4.721937433035977E-8	0.016203977376835505	8.332368596547606E-4	1.5729634188972667E-4	0.00515513929410788
8	0.0011005889682425675	0.0	1.236662805023756E-5	4.7339088735911665E-4	0.0	0.0	1.9109296716347213E-8	0.9896959093378616	0.0024914647429182036	0.0026139812121908487	0.0036122791140807296	0.0
9	0.00868589084667281	5.835788830508453E-4	1.4839653553950146E-4	0.017683203474102953	0.0	0.0	0.2600554627684454	0.1327894678095049	0.5539775359770054	0.00455099192054605	0.019477498341603686	0.0020479734435284416
10	0.001932416234757899	1.4647879435415197E-4	0.0	0.003710705077243595	0.0	4.854920969756527E-6	0.012483698726147038	0.11962476896356877	0.004198240565191152	0.852884643178623	0.00462471548145459	3.8947805769026474E-4
11	6.506476485165737E-8	0.0	0.0	0.0010366942792445716	0.0	0.0	4.994318280868091E-4	0.034768982651062576	0.0036589794013915287	8.16751567256716E-4	0.9592190952081928	0.0
12	0.0013838747877191048	5.49910345314916E-4	5.053380025115023E-6	0.0	0.0018240917568037472	0.004332186986669341	0.02220138779705001	0.0	5.156608738251103E-4	1.366654511416407E-4	0.0	0.9690511686214509
