12	11	E	-1.0434531941271517E7	198
emissionprobs	1	3	H3k09meAlnRep1	0	0.993297327810276
emissionprobs	1	3	H3k09meAlnRep1	1	0.006702672189724118
emissionprobs	1	4	H3k27acAlnRep1	0	0.9074603701101868
emissionprobs	1	4	H3k27acAlnRep1	1	0.0925396298898132
emissionprobs	1	5	H3k36me3AlnRep1	0	0.9875984942555162
emissionprobs	1	5	H3k36me3AlnRep1	1	0.012401505744483834
emissionprobs	1	6	H3k4me2AlnRep1	0	0.8427751799696738
emissionprobs	1	6	H3k4me2AlnRep1	1	0.15722482003032626
emissionprobs	1	7	H3k4me3AlnRep1	0	0.9954024569740152
emissionprobs	1	7	H3k4me3AlnRep1	1	0.004597543025984848
emissionprobs	1	8	H3k79me2AlnRep1	0	0.9693769105995717
emissionprobs	1	8	H3k79me2AlnRep1	1	0.03062308940042831
emissionprobs	1	9	H3k9acAlnRep1	0	0.9780220064082333
emissionprobs	1	9	H3k9acAlnRep1	1	0.021977993591766765
emissionprobs	1	10	Pol2bAlnRep1	0	0.9339435504515227
emissionprobs	1	10	Pol2bAlnRep1	1	0.0660564495484774
emissionprobs	2	0	CtcfAlnRep1	0	0.9098371505542212
emissionprobs	2	0	CtcfAlnRep1	1	0.09016284944577875
emissionprobs	2	1	EzhAlnRep1	0	0.9796198436866165
emissionprobs	2	1	EzhAlnRep1	1	0.02038015631338356
emissionprobs	2	2	H3k04meAlnRep1	0	0.1000914712952925
emissionprobs	2	2	H3k04meAlnRep1	1	0.8999085287047075
emissionprobs	2	3	H3k09meAlnRep1	0	0.990321999551984
emissionprobs	2	3	H3k09meAlnRep1	1	0.009678000448016042
emissionprobs	2	4	H3k27acAlnRep1	0	0.08746299632342683
emissionprobs	2	4	H3k27acAlnRep1	1	0.9125370036765732
emissionprobs	2	5	H3k36me3AlnRep1	0	0.964657627767857
emissionprobs	2	5	H3k36me3AlnRep1	1	0.035342372232143045
emissionprobs	2	6	H3k4me2AlnRep1	0	0.20682607337521627
emissionprobs	2	6	H3k4me2AlnRep1	1	0.7931739266247837
emissionprobs	2	7	H3k4me3AlnRep1	0	0.7290803209231659
emissionprobs	2	7	H3k4me3AlnRep1	1	0.27091967907683406
emissionprobs	2	8	H3k79me2AlnRep1	0	0.9221146537582053
emissionprobs	2	8	H3k79me2AlnRep1	1	0.07788534624179463
emissionprobs	2	9	H3k9acAlnRep1	0	0.602055296633039
emissionprobs	2	9	H3k9acAlnRep1	1	0.397944703366961
emissionprobs	2	10	Pol2bAlnRep1	0	0.8498830097334226
emissionprobs	2	10	Pol2bAlnRep1	1	0.15011699026657752
emissionprobs	3	0	CtcfAlnRep1	0	0.8403539353389696
emissionprobs	3	0	CtcfAlnRep1	1	0.15964606466103043
emissionprobs	3	1	EzhAlnRep1	0	0.9415080140766185
emissionprobs	3	1	EzhAlnRep1	1	0.058491985923381395
emissionprobs	3	2	H3k04meAlnRep1	0	0.68597422405571
emissionprobs	3	2	H3k04meAlnRep1	1	0.3140257759442901
emissionprobs	3	3	H3k09meAlnRep1	0	0.9897428631928847
emissionprobs	3	3	H3k09meAlnRep1	1	0.010257136807115253
emissionprobs	3	4	H3k27acAlnRep1	0	0.08038909683602799
emissionprobs	3	4	H3k27acAlnRep1	1	0.919610903163972
emissionprobs	3	5	H3k36me3AlnRep1	0	0.9692952553016119
emissionprobs	3	5	H3k36me3AlnRep1	1	0.030704744698388065
emissionprobs	3	6	H3k4me2AlnRep1	0	0.08637815157783352
emissionprobs	3	6	H3k4me2AlnRep1	1	0.9136218484221664
emissionprobs	3	7	H3k4me3AlnRep1	0	0.011318801973337303
emissionprobs	3	7	H3k4me3AlnRep1	1	0.9886811980266628
emissionprobs	3	8	H3k79me2AlnRep1	0	0.5710515287690708
emissionprobs	3	8	H3k79me2AlnRep1	1	0.42894847123092916
emissionprobs	3	9	H3k9acAlnRep1	0	0.023684796463573916
emissionprobs	3	9	H3k9acAlnRep1	1	0.976315203536426
emissionprobs	3	10	Pol2bAlnRep1	0	0.6857141877535391
emissionprobs	3	10	Pol2bAlnRep1	1	0.31428581224646096
emissionprobs	4	0	CtcfAlnRep1	0	0.8255017017539841
emissionprobs	4	0	CtcfAlnRep1	1	0.17449829824601595
emissionprobs	4	1	EzhAlnRep1	0	0.894508921324026
emissionprobs	4	1	EzhAlnRep1	1	0.1054910786759739
emissionprobs	4	2	H3k04meAlnRep1	0	0.5998491120118588
emissionprobs	4	2	H3k04meAlnRep1	1	0.40015088798814125
emissionprobs	4	3	H3k09meAlnRep1	0	0.9791245566288987
emissionprobs	4	3	H3k09meAlnRep1	1	0.020875443371101136
emissionprobs	4	4	H3k27acAlnRep1	0	0.9249663938863534
emissionprobs	4	4	H3k27acAlnRep1	1	0.07503360611364658
emissionprobs	4	5	H3k36me3AlnRep1	0	0.9911385380815232
emissionprobs	4	5	H3k36me3AlnRep1	1	0.008861461918476777
emissionprobs	4	6	H3k4me2AlnRep1	0	0.17955867237486306
emissionprobs	4	6	H3k4me2AlnRep1	1	0.8204413276251369
emissionprobs	4	7	H3k4me3AlnRep1	0	0.5632004533612732
emissionprobs	4	7	H3k4me3AlnRep1	1	0.4367995466387267
emissionprobs	4	8	H3k79me2AlnRep1	0	0.9532390831666627
emissionprobs	4	8	H3k79me2AlnRep1	1	0.04676091683333725
emissionprobs	4	9	H3k9acAlnRep1	0	0.8223801600905638
emissionprobs	4	9	H3k9acAlnRep1	1	0.1776198399094361
emissionprobs	4	10	Pol2bAlnRep1	0	0.9031049677301207
emissionprobs	4	10	Pol2bAlnRep1	1	0.0968950322698793
emissionprobs	5	0	CtcfAlnRep1	0	0.9507026429917856
emissionprobs	5	0	CtcfAlnRep1	1	0.049297357008214436
emissionprobs	5	1	EzhAlnRep1	0	0.9947912419181681
emissionprobs	5	1	EzhAlnRep1	1	0.005208758081831871
emissionprobs	5	2	H3k04meAlnRep1	0	0.43749305880524464
emissionprobs	5	2	H3k04meAlnRep1	1	0.5625069411947554
emissionprobs	5	3	H3k09meAlnRep1	0	0.9901586808475488
emissionprobs	5	3	H3k09meAlnRep1	1	0.00984131915245124
emissionprobs	5	4	H3k27acAlnRep1	0	0.8585018913177636
emissionprobs	5	4	H3k27acAlnRep1	1	0.14149810868223645
emissionprobs	5	5	H3k36me3AlnRep1	0	0.7269915837393877
emissionprobs	5	5	H3k36me3AlnRep1	1	0.2730084162606124
emissionprobs	5	6	H3k4me2AlnRep1	0	0.24625346833675404
emissionprobs	5	6	H3k4me2AlnRep1	1	0.7537465316632459
emissionprobs	5	7	H3k4me3AlnRep1	0	0.6480471228799702
emissionprobs	5	7	H3k4me3AlnRep1	1	0.3519528771200297
emissionprobs	5	8	H3k79me2AlnRep1	0	0.13271975267964467
emissionprobs	5	8	H3k79me2AlnRep1	1	0.8672802473203554
emissionprobs	5	9	H3k9acAlnRep1	0	0.8467241861675742
emissionprobs	5	9	H3k9acAlnRep1	1	0.15327581383242578
emissionprobs	5	10	Pol2bAlnRep1	0	0.8824472952511233
emissionprobs	5	10	Pol2bAlnRep1	1	0.11755270474887677
emissionprobs	6	0	CtcfAlnRep1	0	0.9814576425615965
emissionprobs	6	0	CtcfAlnRep1	1	0.01854235743840344
emissionprobs	6	1	EzhAlnRep1	0	0.9987409169330849
emissionprobs	6	1	EzhAlnRep1	1	0.0012590830669150699
emissionprobs	6	2	H3k04meAlnRep1	0	0.9586838629467234
emissionprobs	6	2	H3k04meAlnRep1	1	0.04131613705327666
emissionprobs	6	3	H3k09meAlnRep1	0	0.9933509533624376
emissionprobs	6	3	H3k09meAlnRep1	1	0.006649046637562408
emissionprobs	6	4	H3k27acAlnRep1	0	0.9966722073552449
emissionprobs	6	4	H3k27acAlnRep1	1	0.0033277926447551256
emissionprobs	6	5	H3k36me3AlnRep1	0	0.8738928026163161
emissionprobs	6	5	H3k36me3AlnRep1	1	0.12610719738368387
emissionprobs	6	6	H3k4me2AlnRep1	0	0.9906315446064714
